DPNOM;DPMP;Población;clave_union
Antioquia;Medellín;2634570;Antioquia_Medellín
Antioquia;Abejorral;21622;Antioquia_Abejorral
Antioquia;Abriaquí;2872;Antioquia_Abriaquí
Antioquia;Alejandría;4989;Antioquia_Alejandría
Antioquia;Amagá;32628;Antioquia_Amagá
Antioquia;Amalfi;28059;Antioquia_Amalfi
Antioquia;Andes;46485;Antioquia_Andes
Antioquia;Angelópolis;6183;Antioquia_Angelópolis
Antioquia;Angostura;12190;Antioquia_Angostura
Antioquia;Anorí;19812;Antioquia_Anorí
Antioquia;Santafé de Antioquia;28246;Antioquia_Santafé de Antioquia
Antioquia;Anzá;7537;Antioquia_Anzá
Antioquia;Apartadó;132328;Antioquia_Apartadó
Antioquia;Arboletes;32478;Antioquia_Arboletes
Antioquia;Argelia;8075;Antioquia_Argelia
Antioquia;Armenia;5450;Antioquia_Armenia
Antioquia;Barbosa;56505;Antioquia_Barbosa
Antioquia;Belmira;6436;Antioquia_Belmira
Antioquia;Bello;570329;Antioquia_Bello
Antioquia;Betania;10985;Antioquia_Betania
Antioquia;Betulia;16722;Antioquia_Betulia
Antioquia;Ciudad Bolívar;27884;Antioquia_Ciudad Bolívar
Antioquia;Briceño;8599;Antioquia_Briceño
Antioquia;Buriticá;10105;Antioquia_Buriticá
Antioquia;Cáceres;31368;Antioquia_Cáceres
Antioquia;Caicedo;8938;Antioquia_Caicedo
Antioquia;Caldas;86667;Antioquia_Caldas
Antioquia;Campamento;9839;Antioquia_Campamento
Antioquia;Cañasgordas;16487;Antioquia_Cañasgordas
Antioquia;Caracolí;4850;Antioquia_Caracolí
Antioquia;Caramanta;4973;Antioquia_Caramanta
Antioquia;Carepa;52540;Antioquia_Carepa
Antioquia;El Carmen de Viboral;64717;Antioquia_El Carmen de Viboral
Antioquia;Carolina;4242;Antioquia_Carolina
Antioquia;Caucasia;98488;Antioquia_Caucasia
Antioquia;Chigorodó;62675;Antioquia_Chigorodó
Antioquia;Cisneros;10495;Antioquia_Cisneros
Antioquia;Cocorná;16686;Antioquia_Cocorná
Antioquia;Concepción;5093;Antioquia_Concepción
Antioquia;Concordia;22905;Antioquia_Concordia
Antioquia;Copacabana;84787;Antioquia_Copacabana
Antioquia;Dabeiba;24765;Antioquia_Dabeiba
Antioquia;Donmatías;20498;Antioquia_Donmatías
Antioquia;Ebéjico;12914;Antioquia_Ebéjico
Antioquia;El Bagre;56681;Antioquia_El Bagre
Antioquia;Entrerríos;12158;Antioquia_Entrerríos
Antioquia;Envigado;250012;Antioquia_Envigado
Antioquia;Fredonia;26163;Antioquia_Fredonia
Antioquia;Frontino;22049;Antioquia_Frontino
Antioquia;Giraldo;5988;Antioquia_Giraldo
Antioquia;Girardota;56312;Antioquia_Girardota
Antioquia;Gómez Plata;10464;Antioquia_Gómez Plata
Antioquia;Granada;10855;Antioquia_Granada
Antioquia;Guadalupe;7015;Antioquia_Guadalupe
Antioquia;Guarne;60148;Antioquia_Guarne
Antioquia;Guatapé;9072;Antioquia_Guatapé
Antioquia;Heliconia;5754;Antioquia_Heliconia
Antioquia;Hispania;5876;Antioquia_Hispania
Antioquia;Itagüí;301428;Antioquia_Itagüí
Antioquia;Ituango;29074;Antioquia_Ituango
Antioquia;Jardín;15637;Antioquia_Jardín
Antioquia;Jericó;14576;Antioquia_Jericó
Antioquia;La Ceja;70868;Antioquia_La Ceja
Antioquia;La Estrella;78143;Antioquia_La Estrella
Antioquia;La Pintada;8689;Antioquia_La Pintada
Antioquia;La Unión;23240;Antioquia_La Unión
Antioquia;Liborina;10709;Antioquia_Liborina
Antioquia;Maceo;8785;Antioquia_Maceo
Antioquia;Marinilla;70392;Antioquia_Marinilla
Antioquia;Montebello;7062;Antioquia_Montebello
Antioquia;Murindó;5332;Antioquia_Murindó
Antioquia;Mutatá;15148;Antioquia_Mutatá
Antioquia;Nariño;10889;Antioquia_Nariño
Antioquia;Necoclí;45834;Antioquia_Necoclí
Antioquia;Nechí;28100;Antioquia_Nechí
Antioquia;Olaya;3350;Antioquia_Olaya
Antioquia;Peñol;22736;Antioquia_Peñol
Antioquia;Peque;8717;Antioquia_Peque
Antioquia;Pueblorrico;9280;Antioquia_Pueblorrico
Antioquia;Puerto Berrío;42468;Antioquia_Puerto Berrío
Antioquia;Puerto Nare;15350;Antioquia_Puerto Nare
Antioquia;Puerto Triunfo;19688;Antioquia_Puerto Triunfo
Antioquia;Remedios;30723;Antioquia_Remedios
Antioquia;Retiro;25589;Antioquia_Retiro
Antioquia;Rionegro;147907;Antioquia_Rionegro
Antioquia;Sabanalarga;9731;Antioquia_Sabanalarga
Antioquia;Sabaneta;90253;Antioquia_Sabaneta
Antioquia;Salgar;19448;Antioquia_Salgar
Antioquia;San Andrés de Cuerquía;7697;Antioquia_San Andrés de Cuerquía
Antioquia;San Carlos;17103;Antioquia_San Carlos
Antioquia;San Francisco;6048;Antioquia_San Francisco
Antioquia;San Jerónimo;16609;Antioquia_San Jerónimo
Antioquia;San José de La Montaña;3941;Antioquia_San José de La Montaña
