depa_nombre;muni_nombre;codigo_habilitacion;nombre_prestador;nits_nit;razon_social;clpr_codigo;clpr_nombre;ese;direccion;telefono;email;nivel;caracter;habilitado;fecha_radicacion;fecha_vencimiento;fecha_cierre;dv;clase_persona;naju_codigo;naju_nombre;numero_sede_principal;fecha_corte_REPS
AMAZONAS;LETICIA;9100100019;E.S.E. HOSPITAL SAN RAFAEL DE LETICIA;838000096;E.S.E. HOSPITAL SAN RAFAEL DE LETICIA;1;Instituciones - IPS;SI;CARRERA 10 N  13-78 Leticia (Amazonas);3203048903;gerencia@esehospitalsanrafael-leticia-amazonas.gov.co;2;DEPARTAMENTAL;SI;2003-04-09;2022-08-31;;7;JURIDICO;4;Pública;1;2022-06-16 14:33:00
AMAZONAS;LETICIA;9100100185;FREYA SKIN AND BODY CARE S.A.S TWO;901438650;FREYA SKIN AND BODY CARE S.A.S TWO;1;Instituciones - IPS;;CARRERA 8 A N 8-56;3186435065;freya.skinandbodycare@gmail.com;;;SI;2020-12-21;2024-12-20;;7;JURIDICO;1;Privada;1;2022-06-17 14:33:00
AMAZONAS;LETICIA;9100100069;FUNDACION CLINICA LETICIA;900142282;FUNDACION CLINICA LETICIA;1;Instituciones - IPS;NO;AK INTERNACIONAL N 6-05;985927718;direccion@fundacionclinicaleticia.com.co;;;SI;2007-06-25;2022-08-31;;4;JURIDICO;1;Privada;1;2022-06-18 14:33:00
AMAZONAS;LETICIA;9100100158;IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS);900784482;IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS);1;Instituciones - IPS;;CARRERA  6 N  8 - 76;3104769842;servisaludqcl@gmail.com;;;SI;2016-10-25;2023-08-31;;5;JURIDICO;1;Privada;1;2022-06-19 14:33:00
AMAZONAS;LETICIA;9100100144;INSTITUTO PARA LA PREVENCIÓN, EL TRATAMIENTO Y REHABILITACIÓN DE LAS ENFERMEDADES INMUNOSUPRESORAS SAS - RENACERA;900275974;INSTITUTO PARA LA PREVENCIÓN, EL TRATAMIENTO Y REHABILITACIÓN DE LAS ENFERMEDADES INMUNOSUPRESORAS SAS - RENACERA;1;Instituciones - IPS;;CARRERA 4 N  1 - 55 Barrio Colombia;5925096;renaceraipsas@gmail.com;;;SI;2015-10-26;2022-08-31;;3;JURIDICO;1;Privada;1;2022-06-20 14:33:00
AMAZONAS;LETICIA;9100100178;INVERSIONES PORTILLA SAS;901179619;INVERSIONES PORTILLA SAS;1;Instituciones - IPS;;CARRERA9 N 11 - 39;3153635191;nanaportilla66@hotmail.com;;;SI;2019-08-12;2023-08-11;;6;JURIDICO;1;Privada;1;2022-06-21 14:33:00
AMAZONAS;LETICIA;9100100168;IPS INDÍGENA MALLAMAS;837000084;IPS INDÍGENA MALLAMÁS;1;Instituciones - IPS;NO;CARRERA 9 N  9-67;5925324;leticiacontacto@ipsmallamas;1;NACIONAL;SI;2017-11-10;2022-11-09;;5;JURIDICO;4;Pública;1;2022-06-22 14:33:00
AMAZONAS;LETICIA;9100100111;IPS INDIGENA TRAPECIO AMAZONICO;900507834;IPS INDIGENA TRAPECIO AMAZONICO;1;Instituciones - IPS;NO;CALLE 14 N 10-79;3202350593;fabiomarin@hotmail.com;1;DEPARTAMENTAL;SI;2017-08-04;2022-08-31;;8;JURIDICO;1;Privada;1;2022-06-23 14:33:00
AMAZONAS;LETICIA;9100100161;IPS NUEVO AMAZONAS S.A.S;901014934;IPS NUEVO AMAZONAS S.A.S;1;Instituciones - IPS;;CARRERA  10 N14-07 ED XAMMARA LC 2;3014658293;henrypo69@hotmail.com;;;SI;2016-12-01;2022-08-31;;3;JURIDICO;1;Privada;1;2022-06-24 14:33:00
AMAZONAS;LETICIA;9100100088;LABORATORIO DE CLINICA HUMANA GOMEZ VASQUEZ EU;900243862;LABORATORIO DE CLINICA HUMANA GOMEZ VASQUEZ EU;1;Instituciones - IPS;;CALLE 8 N  9-99;5927183;laboratorioclinicahumanagv@hotmail.com;;;SI;2016-07-01;2023-08-31;;1;JURIDICO;1;Privada;1;2022-06-25 14:33:00
